Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte,data,NUTS_code,NUTS_level,soglia40,sopraSoglia
Abruzzo,53,1324,1,177,23,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITF1,2,4.003021,
Basilicata,24,346,1,88,13,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITF5,2,6.936416,
Calabria,89,778,4,169,2,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITF6,2,11.439589,
Campania,270,3832,16,548,195,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITF3,2,7.045929,
Emilia-Romagna,313,6538,31,760,0,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITH5,2,4.787397,
Friuli Venezia Giulia,27,1277,3,175,0,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITH4,2,2.114330,
Lazio,441,6421,63,943,243,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITI4,2,6.868089,
Liguria,54,1675,14,214,12,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITC3,2,3.223881,
Lombardia,283,6369,35,1416,114,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITC4,2,4.443398,
Marche,47,951,6,209,61,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITI3,2,4.942166,
Molise,4,176,1,39,26,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITF2,2,2.272727,
P.A. Bolzano,11,391,2,100,20,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITH1,2,2.813299,
P.A. Trento,14,517,0,90,0,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITH2,2,2.707930,
Piemonte,105,5824,4,628,99,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITC1,2,1.802885,
Puglia,113,2731,20,464,0,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITF4,2,4.137679,
Sardegna,119,1602,22,204,16,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITG2,2,7.428215,
Sicilia,448,3167,50,730,196,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITG1,2,14.145879,
Toscana,262,5033,30,570,37,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITI1,2,5.205643,
Umbria,30,684,1,91,36,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITI2,2,4.385965,
Valle d'Aosta,3,83,0,33,0,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITC2,2,3.614458,
Veneto,170,6000,18,1000,0,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08,2021-08-10,ITH3,2,2.833333,
